id,serial,exam_type,exam_session,subject,subtopic,stem,case_text,choices_json,answer_text,explanation,explanation_version
686,A05-086,"あん摩マッサージ指圧師",5,"臨床医学各論","運動器疾患","先天性股関節脱臼の乳児期の症状で誤っているのはどれか。",,"[""トレンデレンブルグ徴候陽性"", ""大腿皮膚溝の非対称"", ""バーローテスト陽性"", ""クリックサイン陽性""]","解答　１．","トレンデレンブルグ徴候は、歩行開始後に中殿筋の機能不全により骨盤が傾く現象である。乳児期（歩行前）には、クリックサイン、バーローテスト、大腿皮膚溝の非対称、開排制限などが重要となる。",1
690,A05-090,"あん摩マッサージ指圧師",5,"臨床医学各論","運動器疾患","神経麻痺とその症状との組合せで誤っているのはどれか。",,"[""正中神経 … 猿手"", ""橈骨神経 … 下垂手"", ""尺骨神経 … 鷲手"", ""脛骨神経 … 下垂足""]","解答　４．","下垂足は、足の背屈が不能になる状態で、総腓骨神経麻痺により生じる。脛骨神経麻痺では足の底屈が不能になり、踵足（鉤足）を呈する。",1
837,A06-087,"あん摩マッサージ指圧師",6,"臨床医学各論","運動器疾患","慢性関節リウマチの症状で誤っているのはどれか。",,"[""朝のこわばり"", ""対称性の関節の腫れ"", ""皮下結節"", ""指ＤＩＰ関節の腫れ""]","解答　４．","関節リウマチは、手関節や手指のPIP・MP関節に好発し、DIP（遠位指節間）関節は侵されにくいのが特徴である。DIP関節の腫れや変形は、変形性関節症の一種であるヘバーデン結節でよく見られる。",1
838,A06-088,"あん摩マッサージ指圧師",6,"臨床医学各論","運動器疾患","捻挫について誤っている記述はどれか。",,"[""無理な関節運動を強いられたときに起こる。"", ""関節面の損傷である。"", ""受傷外力と同一方向の外力により疼痛が再現する。"", ""急性期には患部を冷やす。""]","解答　２．","捻挫は関節に過度の外力が加わり、靭帯や関節包などの軟部組織が損傷することを指す。関節面（軟骨や骨）自体の損傷は「骨折」や「軟骨損傷」に分類される。急性期はRICE処置（安静・冷却・圧迫・挙上）が基本である。",1
839,A06-089,"あん摩マッサージ指圧師",6,"臨床医学各論","運動器疾患","五十肩(肩関節周囲炎)について正しい記述はどれか。",,"[""肩甲上腕関節の運動制限がある。"", ""結髪困難は内旋制限による。"", ""結帯困難は外旋制限による。"", ""腱板の萎縮はない。""]","解答　１．","五十肩は肩関節の痛みと可動域制限（拘縮）を主徴とし、全方向の運動制限がみられる。結髪動作は「外旋・外転」、結帯動作は「内旋・内転」の制限により困難となる。長期化すれば廃用性の筋萎縮が生じることもある。",1
840,A06-090,"あん摩マッサージ指圧師",6,"臨床医学各論","運動器疾患","腰椎椎間板ヘルニアについて誤っている記述はどれか。",,"[""Ｌ5-Ｓ1間のヘルニアではラセーグテストは陽性である。"", ""Ｌ2-Ｌ3間のヘルニアでは大腿神経伸展テストは陽性である。"", ""Ｌ5-Ｓ1間のヘルニアではアキレス腱反射は正常である。"", ""坐骨神経痛は殿部から足部にかけて放散する。""]","解答　３．","L5-S1間のヘルニアではS1神経根が圧迫されるため、S1が反射弓となるアキレス腱反射は「減弱または消失」する。L4-L5間ではアキレス腱反射は正常であることが多い。下位腰椎ヘルニアではラセーグテストが陽性となる。",1
981,A07-081,"あん摩マッサージ指圧師",7,"臨床医学各論","運動器疾患","痛風でみられないのはどれか。",,"[""胆管結石"", ""尿路結石"", ""腎障害"", ""急性関節炎""]","解答　１．","痛風は高尿酸血症を基盤とし、尿酸塩結晶が沈着することで急性関節炎（痛風発作）や腎障害（痛風腎）、尿路結石を引き起こす。胆管結石はコレステロールやビリルビンが主成分であり、尿酸代謝異常である痛風とは直接の関係はない。",1
989,A07-089,"あん摩マッサージ指圧師",7,"臨床医学各論","運動器疾患","変形性膝関節症の症状で誤っているのはどれか。",,"[""運動開始時痛"", ""大腿四頭筋の肥大"", ""膝蓋跳動"", ""内側関節裂隙部の圧痛""]","解答　２．","変形性膝関節症では、膝関節の痛みにより活動性が低下し、大腿四頭筋の萎縮がみられるのが一般的である。運動開始時痛、内側関節裂隙の圧痛、関節液貯留による膝蓋跳動などは典型的な症状である。",1
990,A07-090,"あん摩マッサージ指圧師",7,"臨床医学各論","運動器疾患","五十肩について誤っているのはどれか。",,"[""原因は退行性変性"", ""肩関節可動域は正常"", ""運動時の痛み"", ""運動療法の適応""]","解答　２．","五十肩（肩関節周囲炎）は、肩関節の組織の退行性変性を基盤に発症し、運動時痛や夜間痛、および著明な関節可動域制限（拘縮）を特徴とする。急性期を過ぎた後は、可動域改善のための運動療法が重要となる。",1
991,A07-091,"あん摩マッサージ指圧師",7,"臨床医学各論","運動器疾患","腰部椎間板ヘルニアの症状で誤っているのはどれか。",,"[""放散痛"", ""解離性知覚障害"", ""筋萎縮"", ""深部反射低下""]","解答　２．","腰部椎間板ヘルニアは神経根圧迫により、下肢への放散痛、知覚鈍麻、筋力低下、深部腱反射の減弱・消失を呈する。解離性知覚障害（温痛覚のみ障害され触覚が保たれる等）は脊髄空洞症などの脊髄中心部病変でみられる症状である。",1
992,A07-092,"あん摩マッサージ指圧師",7,"臨床医学各論","運動器疾患","骨粗しょう症について誤っている記述はどれか。",,"[""骨の化学的組成に異常がある。"", ""閉経後に多く発症する。"", ""病的骨折を起こしやすい。"", ""運動が予防に重要である。""]","解答　１．","骨粗鬆症は、骨の化学的組成（成分比率）は正常であるが、骨量（骨密度）が減少して骨強度が低下する疾患である。閉経後のエストロゲン減少により女性に多く、椎体や大腿骨近位部の骨折を招きやすい。予防には運動やカルシウム摂取が有効である。",1
1127,A08-077,"あん摩マッサージ指圧師",8,"臨床医学各論","運動器疾患","閉経後に起こりやすい疾患はどれか。",,"[""気管支喘息"", ""尿路結石"", ""骨粗鬆症"", ""片頭痛""]","解答　３．","閉経後はエストロゲンの分泌が急激に減少するため、骨吸収が促進されて骨量が減少し、骨粗鬆症のリスクが高まる。また、脂質異常症なども起こりやすくなる。",1
1135,A08-085,"あん摩マッサージ指圧師",8,"臨床医学各論","運動器疾患","肩関節周囲炎について誤っているのはどれか。",,"[""40～60歳代に好発"", ""夜間痛"", ""関節包の拡大"", ""結帯動作の制限""]","解答　３．","肩関節周囲炎（五十肩）では、関節包の炎症や癒着により「関節包の縮小（拘縮）」が起こる。夜間痛や、結帯・結髪動作などの可動域制限が典型的な症状である。",1
1136,A08-086,"あん摩マッサージ指圧師",8,"臨床医学各論","運動器疾患","鶏歩に関係する神経はどれか。",,"[""大腿神経"", ""脛骨神経"", ""腓腹神経"", ""総腓骨神経""]","解答　４．","総腓骨神経麻痺により足関節の背屈ができなくなる（下垂足）。歩行時に足先が地面に引っかからないよう、膝を高く上げて歩く様子を「鶏歩」と呼ぶ。",1
1137,A08-087,"あん摩マッサージ指圧師",8,"臨床医学各論","運動器疾患","腰部脊柱管狭窄症で誤っている記述はどれか。",,"[""先天性と後天性がある。"", ""腰椎屈曲位で痛みが軽減する。"", ""安静時痛がある。"", ""間欠性跛行がある。""]","解答　３．","腰部脊柱管狭窄症は、歩行により下肢痛やしびれが出現する「間欠性跛行」が特徴であり、通常は安静にすると症状が消失する。前屈位（屈曲位）で脊柱管が広がるため、症状が軽減する。",1
1138,A08-088,"あん摩マッサージ指圧師",8,"臨床医学各論","運動器疾患","高齢者の大腿骨頚部骨折の骨癒合が起こりにくい理由はどれか。",,"[""骨修復能が低下している。"", ""関節包外骨折である。"", ""骨折の中枢側が充血状態となる。"", ""骨折片間に圧迫力がかかる。""]","解答　１．","高齢者では加齢に伴い骨形成能や血流が低下しており、骨修復能が低い。また、大腿骨頚部骨折（内側骨折）は関節包内骨折であり、大腿骨頭への血流が遮断されやすく、偽関節や骨壊死を起こしやすい。",1
1286,A09-086,"あん摩マッサージ指圧師",9,"臨床医学各論","運動器疾患","慢性関節リウマチの診断基準にないのはどれか。",,"[""朝のこわぼり"", ""３つ以上の関節の腫れ"", ""レイノー現象"", ""皮下結節""]","解答　３．","レイノー現象は全身性エリテマトーデス（SLE）や強皮症（PSS）でよく見られるが、関節リウマチ（RA）の米国リウマチ学会診断基準（1987年）には含まれない。朝のこわばり、多関節の腫脹、皮下結節などは基準に含まれる。",1
1287,A09-087,"あん摩マッサージ指圧師",9,"臨床医学各論","運動器疾患","外傷性脱臼で誤っているのはどれか。",,"[""特有な異常肢位"", ""関節包内脱臼"", ""ばね様固定"", ""関節の疼痛""]","解答　２．","外傷性脱臼は、強い外力により関節包が破れて関節頭が関節包外へ脱出する「関節包外脱臼」が一般的である。特有の異常肢位、ばね様固定（弾発性固定）、激しい疼痛が三主徴とされる。",1
1288,A09-088,"あん摩マッサージ指圧師",9,"臨床医学各論","運動器疾患","肩関節周囲炎で誤っているのはどれか。",,"[""夜間痛"", ""予後は不良"", ""挙上制限"", ""肩甲帯筋群の萎縮""]","解答　２．","肩関節周囲炎（五十肩）は、適切な治療やリハビリテーションにより多くの場合で症状が改善するため、予後は良好である。夜間痛や関節可動域制限（挙上制限）、廃用による筋萎縮を伴うことがある。",1
1293,A09-093,"あん摩マッサージ指圧師",9,"臨床医学各論","運動器疾患","腰椎椎間板ヘルニアの症状でないのはどれか。",,"[""足クローヌス"", ""坐骨神経痛"", ""下肢の知覚障害"", ""腰痛""]","解答　１．","腰椎椎間板ヘルニアは下位運動ニューロン障害を引き起こすため、腱反射減弱や筋萎縮が見られる。足クローヌスは上位運動ニューロン障害（脊髄圧迫や脳障害）で見られる症状である。",1
1296,A09-096,"あん摩マッサージ指圧師",9,"臨床医学各論","運動器疾患","陸上長距離選手が肉離れを起こしやすい筋はどれか。",,"[""ハムストリングス"", ""大腿四頭筋"", ""下腿三頭筋"", ""腹直筋""]","解答　３．","陸上競技、特に長距離やダッシュにおいて、下腿三頭筋（腓腹筋）は肉離れを起こしやすい代表的な部位である。ハムストリングスも多いが、下腿三頭筋は「テニス脚」としても知られる。",1
1426,A10-076,"あん摩マッサージ指圧師",10,"臨床医学各論","運動器疾患","外傷性脱臼で起こらないのはどれか。",,"[""疼痛"", ""腫脹"", ""変形"", ""脂肪塞栓""]","解答　４．","外傷性脱臼では激しい疼痛、関節の腫脹、外見上の変形（弾発性固定など）がみられる。脂肪塞栓は、長管骨（大腿骨など）の骨折時に骨髄内の脂肪組織が血中に流入することで発生する合併症であり、単純な脱臼では起こらない。",1
1429,A10-079,"あん摩マッサージ指圧師",10,"臨床医学各論","運動器疾患","加齢による変化で男女差がみられるのはどれか。",,"[""聴力"", ""筋力"", ""骨塩量"", ""肝血流量""]","解答　３．","骨塩量は加齢とともに減少するが、特に女性では閉経後のエストロゲン減少により急激に低下するため、顕著な男女差がみられる。聴力や筋力、肝血流量も加齢で低下するが、骨塩量ほど明確な性差を伴う変化ではない。",1
1440,A10-090,"あん摩マッサージ指圧師",10,"臨床医学各論","運動器疾患","慢性関節リウマチに認めにくい症状はどれか。",,"[""遠位指節間関節炎"", ""骨萎縮"", ""関節強直"", ""朝のこわばり""]","解答　２．","関節リウマチ（RA）は対称性の多関節炎を特徴とし、朝のこわばり、骨萎縮、関節強直などがみられる。指の関節では近位指節間（PIP）関節や中手指節（MP）関節が侵されやすく、遠位指節間（DIP）関節は通常侵されない（DIPは変形性関節症で侵される）。",1
1441,A10-091,"あん摩マッサージ指圧師",10,"臨床医学各論","運動器疾患","腰椎椎間板ヘルニアで正しい記述はどれか。",,"[""高齢者に好発する。"", ""好発部位はＬ4－Ｌ5間である。"", ""バビンスキー反射が出現する。"", ""背筋の緊張が低下する。""]","解答　２．","腰椎椎間板ヘルニアは20〜40歳代の青壮年に好発し、L4-L5間やL5-S1間に最も多く発生する。下位運動ニューロン障害のためバビンスキー反射（上位運動ニューロン徴候）は陰性となり、痛みにより背筋は緊張する。",1
1442,A10-092,"あん摩マッサージ指圧師",10,"臨床医学各論","運動器疾患","いわゆる五十肩で誤っているのはどれか。",,"[""退行変性である。"", ""外転、外旋制限が強い。"", ""包帯で固定する。"", ""予後は良い。""]","解答　３．","五十肩（肩関節周囲炎）は、肩関節の退行変性を基盤に発症し、外転・外旋などの可動域制限（拘縮）を伴う。治療の基本は運動療法であり、長期の包帯固定は拘縮を悪化させるため禁忌である。予後は一般に良好である。",1
1589,A11-089,"あん摩マッサージ指圧師",11,"臨床医学各論","運動器疾患","男性に多い疾患はどれか。",,"[""先天性股関節脱臼"", ""関節リウマチ"", ""変形性膝関節症"", ""痛風""]","解答　４．","痛風は高尿酸血症を基盤とする疾患で、患者の約95%以上が男性である。他の選択肢（先天性股関節脱臼、関節リウマチ、変形性膝関節症）はいずれも女性に多い。",1
1591,A11-091,"あん摩マッサージ指圧師",11,"臨床医学各論","運動器疾患","神経麻痺で母指対立筋の萎縮がみられるのはどれか。",,"[""筋皮神経"", ""尺骨神経"", ""橈骨神経"", ""正中神経""]","解答　４．","母指対立筋は正中神経に支配されており、正中神経麻痺（手根管症候群など）では母指球筋の萎縮により猿手と呼ばれる変形を呈する。",1
1593,A11-093,"あん摩マッサージ指圧師",11,"臨床医学各論","運動器疾患","骨粗鬆症の治療に用いられないのはどれか。",,"[""ビタミンA"", ""活性型ビタミンD"", ""エストロゲン"", ""カルシトニン""]","解答　１．","骨粗鬆症の治療には、カルシウムの吸収を促す活性型ビタミンD、骨吸収を抑制するエストロゲンやカルシトニン、ビスホスホネート製剤などが用いられる。ビタミンAは骨代謝に直接的な治療効果はない。",1
1738,A12-088,"あん摩マッサージ指圧師",12,"臨床医学各論","運動器疾患","高齢者の転倒予防で誤っている記述はどれか。",,"[""ベッドは膝の高さとする。"", ""起床時はしばらく座ってから立ち上がる。"", ""廊下を歩くときは手すりを利用する。"", ""履物はサンダルタイプとする。""]","解答　４．","サンダルやスリッパは脱げやすく、つまずきの原因となるため、高齢者の転倒予防には適さない。かかとが固定され、滑りにくい靴が推奨される。",1
1739,A12-089,"あん摩マッサージ指圧師",12,"臨床医学各論","運動器疾患","いわゆる五十肩で誤っている記述はどれか。",,"[""帯を結ぶ動作が困難となる。"", ""肩甲帯筋の廃用性萎縮がみられる。"", ""肩関節腔は拡大している。"", ""痛みは寒冷時に増悪する。""]","解答　３．","五十肩（肩関節周囲炎）の凍結肩の状態では、関節包の肥厚や縮小により関節腔の容積は減少（縮小）する。結帯動作の制限や夜間痛、寒冷時の増悪などが特徴である。",1
1740,A12-090,"あん摩マッサージ指圧師",12,"臨床医学各論","運動器疾患","変形性膝関節症に関連が少ないのはどれか。",,"[""運動開始時痛"", ""大腿四頭筋萎縮"", ""外反膝"", ""関節拘縮""]","解答　３．","変形性膝関節症（OA）は、日本では圧倒的に内反膝（O脚）を呈することが多い。運動開始時痛、大腿四頭筋の萎縮、関節可動域制限（拘縮）は典型的な所見である。",1
1741,A12-091,"あん摩マッサージ指圧師",12,"臨床医学各論","運動器疾患","変形性脊椎症で最も適切なのはどれか。",,"[""エックス線所見と臨床症状とは一致する。"", ""閉経後の女性に多い。"", ""長期間コルセットを装着させる。"", ""体操で筋力強化を図る。""]","解答　４．","変形性脊椎症では、脊柱を支える筋力を強化する体操が推奨される。X線上の変形と症状は必ずしも一致せず、コルセットの長期使用は筋力低下を招くため避けるべきである。",1
1880,A13-080,"あん摩マッサージ指圧師",13,"臨床医学各論","運動器疾患","五十肩について誤っている記述はどれか。",,"[""外旋運動が制限される。"", ""保存的治療が基本である。"", ""上肢帯筋の萎縮が起こる。"", ""完治することはまれである。""]","解答　４．","五十肩（肩関節周囲炎）は、適切な治療や経過によって多くの場合で症状が改善・完治する。運動制限（特に外旋・外転）や、長期化による廃用性の筋萎縮が見られることもあるが、予後は比較的良好である。",1
1881,A13-081,"あん摩マッサージ指圧師",13,"臨床医学各論","運動器疾患","変形性股関節症について正しい記述はどれか。",,"[""我が国では二次性が多い。"", ""エックス線像で骨萎縮が強い。"", ""ジョギングを勧める。"", ""杖は患側に持たせる。""]","解答　１．","日本人の変形性股関節症は、先天性股関節脱臼や発育性股関節形成不全に続発する二次性が約8割を占める。エックス線では骨硬化や関節裂隙の狭小化が見られ、治療では関節への負担を減らすため杖は健側に持たせる。",1
1882,A13-082,"あん摩マッサージ指圧師",13,"臨床医学各論","運動器疾患","腰部脊柱管狭窄症について適切でない記述はどれか。",,"[""高齢者に多い。"", ""間欠跛行が特徴である。"", ""下肢症状は両側に認めることが多い。"", ""足背動脈の拍動は消失する。""]","解答　４．","腰部脊柱管狭窄症は神経性の間欠跛行を呈するが、血管性ではないため足背動脈の拍動は保持される。足背動脈の拍動消失は閉塞性動脈硬化症（ASO）などの血管性病変で認められる。",1
1895,A13-095,"あん摩マッサージ指圧師",13,"臨床医学各論","運動器疾患","原発性骨粗鬆症について誤っている記述はどれか。",,"[""閉経後に多く発症する。"", ""病的骨折を起こしやすい。"", ""運動が予防に重要である。"", ""血液、生化学検査に異常を認める。""]","解答　４．","原発性骨粗鬆症では、通常、血液検査（血清カルシウム、リン、ALPなど）に異常を認めないのが特徴である。閉経後のエストロゲン減少が原因となることが多く、骨折の予防には運動や食事療法が重要である。",1
2033,A14-083,"あん摩マッサージ指圧師",14,"臨床医学各論","運動器疾患","いわゆる五十肩について誤っている記述はどれか。",,"[""結帯動作が困難である。"", ""夜間痛がある。"", ""40～60歳代に好発する。"", ""治療にデゾー包帯を行う。""]","解答　４．","五十肩（肩関節周囲炎）は、肩関節の痛みと可動域制限（結帯・結髪動作の困難）が特徴である。デゾー包帯は肩甲骨や上腕骨近位端骨折などの固定に用いられるもので、五十肩の治療（可動域改善が必要）には適さない。",1
2034,A14-084,"あん摩マッサージ指圧師",14,"臨床医学各論","運動器疾患","小児の肘関節周辺骨折について誤っている記述はどれか。",,"[""上腕骨顆上骨折の頻度が高い。"", ""上腕骨外顆骨折では手術の適応が多い。"", ""フォルクマン拘縮は重篤な合併症である。"", ""肘関節拘縮には強力に変形矯正を行う。""]","解答　４．","肘関節周辺の骨折後の拘縮に対し、強力な矯正（マッサージや無理な他動運動）を行うと、骨化性筋炎を誘発し、かえって可動域制限を悪化させる恐れがあるため禁忌である。",1
2041,A14-091,"あん摩マッサージ指圧師",14,"臨床医学各論","運動器疾患","関節リウマチの症状でないのはどれか。",,"[""朝のこわばり"", ""蝶形紅斑"", ""対称性の関節腫脹"", ""皮下結節""]","解答　２．","関節リウマチの主症状は朝のこわばり、対称性の多関節炎、皮下結節（リウマトイド結節）などである。蝶形紅斑は全身性エリテマトーデス（SLE）に特徴的な症状である。",1
